name,team,position,gamesPlayed,fumblesForced,fumblesRecovered,fumblesTouchdowns,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingYardsPerGame,longPassing,passingTouchdowns,interceptions,sacks,sackYardsLost,QBR,QBRating,adjQBR,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingBigPlays,rushingTouchdowns,rushingYardsPerGame,rushingFumbles,rushingFumblesLost,rushingFirstDowns,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,receivingBigPlays,receivingYardsPerGame,receivingFumbles,receivingFumblesLost,receivingYardsAfterCatch,receivingFirstDowns,soloTackles,assistTackles,totalTackles,sacks,sackYards,tacklesForLoss,passesDefended,longInterception,interceptions,interceptionYards,interceptionTouchdowns,rushingTouchdowns,receivingTouchdowns,returnTouchdowns,totalTouchdowns,fieldGoals,kickExtraPoints,totalTwoPointConvs,totalPoints,totalPointsPerGame,kickReturns,kickReturnYards,yardsPerKickReturn,longKickReturn,kickReturnTouchdowns,puntReturns,puntReturnYards,yardsPerPuntReturn,longPuntReturn,puntReturnTouchdowns,puntReturnFairCatches,fieldGoalsMade,fieldGoalAttempts,fieldGoalPct,longFieldGoalMade,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,fieldGoalAttempts1_19,fieldGoalAttempts20_29,fieldGoalAttempts30_39,fieldGoalAttempts40_49,fieldGoalAttempts50,extraPointsMade,extraPointAttempts,extraPointPct,punts,puntYards,longPunt,grossAvgPuntYards,netAvgPuntYards,puntsBlocked,puntsInside20,touchbacks,fairCatches,puntReturns,puntReturnYards,avgPuntReturnYards
Taylor Heinicke,Chargers,QB,3.0,,,0.0,3.0,3.0,100.0,28.0,9.333000183105469,9.333333015441895,18.0,0.0,0.0,3.0,28.0,4.03,105.55599975585938,6.27,1.0,12.0,12.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz,Chiefs,QB,2.0,,,0.0,2.0,2.0,100.0,20.0,10.0,10.0,12.0,0.0,0.0,0.0,0.0,36.07,108.33300018310547,35.64,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Mullens,Vikings,QB,4.0,,,0.0,2.0,2.0,100.0,38.0,19.0,9.5,24.0,0.0,0.0,0.0,0.0,97.47,118.75,97.66,3.0,-2.0,-0.6669999957084656,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen,Steelers,QB,1.0,,,0.0,1.0,1.0,100.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,99.52,118.75,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Cole,Raiders,P,15.0,,,0.0,1.0,1.0,100.0,34.0,34.0,2.2666666507720947,34.0,0.0,0.0,0.0,0.0,,118.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,2926.0,70.0,50.448001861572266,42.382999420166016,2.0,23.0,6.0,12.0,23.0,263.0,11.4350004196167
Jack Fox,Lions,P,15.0,,,0.0,1.0,1.0,100.0,17.0,17.0,1.1333333253860474,17.0,0.0,0.0,0.0,0.0,,118.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,2193.0,68.0,51.0,46.27899932861328,0.0,21.0,4.0,14.0,19.0,123.0,6.473999977111816
Kyle Trask,Buccaneers,QB,3.0,,,0.0,1.0,1.0,100.0,5.0,5.0,1.6666666269302368,5.0,0.0,0.0,0.0,0.0,91.63,87.5,89.85,2.0,-2.0,-1.0,-1.0,0.0,0.0,-0.6666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Tune,Cardinals,QB,5.0,,,0.0,2.0,2.0,100.0,8.0,4.0,1.600000023841858,7.0,0.0,0.0,0.0,0.0,0.39,83.33300018310547,0.33,6.0,-6.0,-1.0,2.0,0.0,0.0,-1.2000000476837158,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Bagent,Bears,QB,4.0,,,0.0,2.0,2.0,100.0,11.0,5.5,2.75,6.0,0.0,0.0,0.0,0.0,42.02,89.58300018310547,52.5,6.0,-7.0,-1.1670000553131104,-1.0,0.0,0.0,-1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,Colts,WR,15.0,,,0.0,1.0,1.0,100.0,24.0,24.0,1.600000023841858,24.0,0.0,0.0,0.0,0.0,75.58,118.75,71.51,4.0,6.0,1.5,10.0,0.0,0.0,0.4000000059604645,1.0,1.0,1.0,21.0,50.0,290.0,13.8100004196167,0.0,36.0,4.0,19.33333396911621,1.0,0.0,81.0,14.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor,Jets,QB,1.0,,,0.0,6.0,8.0,75.0,36.0,4.5,36.0,9.0,1.0,0.0,0.0,0.0,95.08,122.91699981689453,95.91,1.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Trubisky,Bills,QB,7.0,,,0.0,3.0,4.0,75.0,9.0,2.25,1.2857142686843872,4.0,0.0,0.0,0.0,0.0,3.56,77.08300018310547,3.12,11.0,-10.0,-0.9089999794960022,0.0,0.0,0.0,-1.4285714626312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,Packers,QB,6.0,,,0.0,30.0,41.0,73.1709976196289,414.0,10.097999572753906,69.0,51.0,3.0,0.0,5.0,16.0,88.75,129.52200317382812,88.85,19.0,135.0,7.105000019073486,29.0,3.0,1.0,22.5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Mariota,Commanders,QB,2.0,0.0,0.0,0.0,19.0,26.0,73.0770034790039,203.0,7.808000087738037,101.5,25.0,2.0,0.0,1.0,4.0,69.48,121.15399932861328,58.54,13.0,36.0,2.7690000534057617,11.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tua Tagovailoa,Dolphins,QB,11.0,0.0,0.0,-1.0,291.0,399.0,72.93199920654297,2867.0,7.184999942779541,260.6363525390625,80.0,19.0,7.0,21.0,154.0,61.93,101.36299896240234,59.75,17.0,49.0,2.881999969482422,13.0,0.0,0.0,4.454545497894287,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Jared Goff,Lions,QB,15.0,0.0,0.0,0.0,337.0,472.0,71.39800262451172,4095.0,8.675999641418457,273.0,82.0,33.0,10.0,27.0,203.0,65.73,112.20899963378906,66.41,32.0,59.0,1.843999981880188,10.0,0.0,0.0,3.933333396911621,0.0,0.0,9.0,1.0,1.0,7.0,7.0,1.0,7.0,0.0,0.46666666865348816,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4000000059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield,Buccaneers,QB,15.0,0.0,0.0,-12.0,359.0,506.0,70.9489974975586,3920.0,7.747000217437744,261.3333435058594,57.0,34.0,15.0,37.0,233.0,58.25,103.53299713134766,57.19,50.0,308.0,6.159999847412109,21.0,1.0,3.0,20.53333282470703,9.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,1.2000000476837158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy DeVito,Giants,QB,3.0,,,0.0,31.0,44.0,70.45500183105469,257.0,5.841000080108643,85.66666412353516,23.0,0.0,0.0,6.0,31.0,31.61,85.13300323486328,26.08,8.0,32.0,4.0,17.0,0.0,0.0,10.666666984558105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geno Smith,Seahawks,QB,15.0,0.0,0.0,-21.0,370.0,528.0,70.07599639892578,3937.0,7.455999851226807,262.4666748046875,71.0,17.0,15.0,45.0,308.0,54.55,90.44300079345703,53.37,48.0,239.0,4.979000091552734,34.0,3.0,2.0,15.933333396911621,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.800000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,Commanders,QB,15.0,0.0,0.0,0.0,301.0,432.0,69.6760025024414,3303.0,7.645999908447266,220.1999969482422,86.0,22.0,8.0,38.0,189.0,72.42,101.26399993896484,71.86,128.0,737.0,5.757999897003174,46.0,6.0,6.0,49.13333511352539,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,38.0,2.5329999923706055,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Joe Burrow,Bengals,QB,15.0,0.0,0.0,0.0,384.0,557.0,68.94100189208984,4229.0,7.5920000076293945,281.9333190917969,70.0,39.0,8.0,37.0,219.0,74.51,108.52400207519531,74.24,37.0,177.0,4.783999919891357,47.0,1.0,1.0,11.800000190734863,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4000000059604645,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Jalen Hurts,Eagles,QB,15.0,0.0,0.0,0.0,248.0,361.0,68.697998046875,2903.0,8.041999816894531,193.53334045410156,67.0,18.0,5.0,38.0,271.0,67.68,103.68800354003906,66.32,150.0,630.0,4.199999809265137,35.0,7.0,14.0,42.0,4.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,84.0,5.599999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Murray,Cardinals,QB,15.0,0.0,0.0,-1.0,314.0,458.0,68.55899810791016,3288.0,7.178999900817871,219.1999969482422,60.0,16.0,9.0,26.0,182.0,65.94,92.58599853515625,67.59,71.0,518.0,7.296000003814697,50.0,6.0,5.0,34.53333282470703,4.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,32.0,2.132999897003174,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Lamar Jackson,Ravens,QB,15.0,0.0,0.0,-9.0,290.0,427.0,67.91600036621094,3787.0,8.869000434875488,252.46665954589844,84.0,37.0,4.0,22.0,146.0,75.29,120.61399841308594,75.49,126.0,765.0,6.071000099182129,39.0,6.0,3.0,51.0,6.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,20.0,1.3329999446868896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Carr,Saints,QB,10.0,0.0,0.0,0.0,189.0,279.0,67.74199676513672,2145.0,7.688000202178955,214.5,71.0,15.0,5.0,8.0,48.0,68.12,101.02300262451172,64.53,17.0,71.0,4.176000118255615,13.0,0.0,1.0,7.099999904632568,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.6000000238418579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,Patriots,QB,11.0,0.0,0.0,-13.0,213.0,315.0,67.61900329589844,2159.0,6.854000091552734,196.27272033691406,40.0,14.0,10.0,29.0,190.0,59.65,88.5780029296875,59.96,48.0,389.0,8.104000091552734,41.0,3.0,2.0,35.3636360168457,3.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,1.090999960899353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,Vikings,QB,15.0,0.0,0.0,-7.0,310.0,461.0,67.24500274658203,3776.0,8.190999984741211,251.73333740234375,97.0,32.0,11.0,45.0,306.0,62.43,105.44599914550781,61.98,61.0,205.0,3.3610000610351562,19.0,0.0,1.0,13.666666984558105,3.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4000000059604645,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Kirk Cousins,Falcons,QB,14.0,0.0,0.0,-13.0,303.0,453.0,66.88700103759766,3508.0,7.74399995803833,250.57142639160156,60.0,18.0,16.0,28.0,201.0,51.09,88.61799621582031,51.88,23.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
